"Epoch","Total Count","Correct Count","Correct Percentage","Total Loss","Average Loss","Time"
"1","44928","5065","0.11273593304843305","1335.8677570819855","0.029733523795450176","35.58037042617798"
"2","44928","10590","0.23571047008547008","1073.3108265399933","0.023889575020922215","35.35513758659363"
"3","44928","15183","0.3379407051282051","886.0318806171417","0.019721151188949914","35.56394076347351"
"4","44928","18813","0.4187366452991453","750.2602831125259","0.016699169406884925","35.547582387924194"
"5","44928","21420","0.47676282051282054","662.7562991380692","0.014751520190929245","35.55365443229675"
"6","44928","23188","0.5161146723646723","605.7900296449661","0.013483574377781476","35.537049293518066"
"7","44928","24806","0.5521278490028491","553.3818318843842","0.012317081372070516","35.56639051437378"
"8","44928","25859","0.5755653490028491","520.6452038288116","0.011588434914280885","35.545159101486206"
"9","44928","27018","0.6013621794871795","484.1902824640274","0.010777027298433658","35.6461546421051"
"10","44928","27803","0.6188345797720798","461.1525612473488","0.010264257506395761","35.74725270271301"
"11","44928","28510","0.6345708689458689","437.90371572971344","0.009746788544553808","35.740575075149536"
"12","44928","29314","0.6524661680911681","419.1207847595215","0.009328721170751458","35.582212686538696"
"13","44928","29571","0.6581864316239316","407.88653457164764","0.009078671086441588","35.5724835395813"
"14","44928","30222","0.672676282051282","389.42907923460007","0.008667848095499467","35.57952642440796"
"15","44928","30616","0.6814458689458689","379.7005544900894","0.008451312199298643","35.583744049072266"
"16","44928","30845","0.6865429131054132","370.04512041807175","0.008236403143208506","35.54708242416382"
"17","44928","31020","0.6904380341880342","363.4696239233017","0.008090046828777193","35.550869941711426"
"18","44928","31334","0.6974269943019943","355.06834894418716","0.007903052638536929","35.50223350524902"
"19","44928","31711","0.705818198005698","346.3586682677269","0.00770919400524677","35.556315183639526"
"20","44928","31936","0.7108262108262108","339.72530525922775","0.0075615497075148625","35.51398730278015"
"21","44928","32106","0.7146100427350427","334.4812990427017","0.007444829483678368","35.517505168914795"
"22","44928","32133","0.7152110042735043","331.29140812158585","0.007373829418660654","35.52430438995361"
"23","44928","32227","0.7173032407407407","328.7872488796711","0.0073180922560468105","35.52649784088135"
"24","44928","32665","0.7270521723646723","318.6921384334564","0.007093396955872872","35.5201473236084"
"25","44928","32833","0.7307914886039886","314.6116651892662","0.007002574456669921","35.55424213409424"
"26","44928","33097","0.7366675569800569","310.0937574505806","0.006902015612771113","35.50093865394592"
"27","44928","32926","0.7328614672364673","309.6585918068886","0.00689232976778153","35.570170402526855"
"28","44928","33094","0.7366007834757835","303.0891039967537","0.006746107193659938","35.52830982208252"
"29","44928","33366","0.7426549145299145","297.29864978790283","0.0066172242207065265","35.543532609939575"
"30","44928","33593","0.7477074430199431","294.434552192688","0.006553475609701923","35.563740968704224"
"31","44928","33593","0.7477074430199431","291.6687620282173","0.00649191510924629","35.56621766090393"
"32","44928","33859","0.7536280270655271","284.5512914955616","0.006333495626236681","35.54399228096008"
"33","44928","33679","0.7496216168091168","287.34216153621674","0.006395614350432175","35.57633948326111"
"34","44928","33965","0.7559873575498576","278.0931324660778","0.006189750989718612","35.5482919216156"
"35","44928","34075","0.7584357193732194","278.1286637187004","0.006190541838468225","35.51140761375427"
"36","44928","34133","0.7597266737891738","275.91511684656143","0.006141273077959433","35.589399099349976"
"37","44928","34194","0.7610844017094017","274.59415742754936","0.006111871381489257","35.52556896209717"
"38","44928","34474","0.7673165954415955","268.09197092056274","0.005967146788652127","35.482112407684326"
"39","44928","34467","0.7671607905982906","266.18996235728264","0.005924812196342651","35.535362243652344"
"40","44928","34430","0.7663372507122507","267.65769109129906","0.005957480659973715","35.51767158508301"
"41","44928","34547","0.7689414173789174","263.03291338682175","0.00585454312203574","35.49841284751892"
"42","44928","34925","0.7773548789173789","256.8366411626339","0.005716627518755206","35.59013223648071"
"43","44928","34818","0.7749732905982906","257.42182701826096","0.005729652488832376","35.55546855926514"
"44","44928","34991","0.778823896011396","253.90225887298584","0.005651314522635903","35.590699672698975"
"45","44928","34833","0.7753071581196581","255.79090332984924","0.005693351658873069","35.589890480041504"
"46","44928","35143","0.7822070868945868","246.75275388360023","0.0054921820219818425","35.58239030838013"
"47","44928","35191","0.7832754629629629","247.67873272299767","0.005512792305978402","35.543126821517944"
"48","44928","35223","0.7839877136752137","247.4283616244793","0.005507219587439443","35.53279685974121"
"49","44928","35353","0.7868812321937322","242.11628994345665","0.005388984373741468","35.59677171707153"
"50","44928","35234","0.7842325498575499","246.61169230937958","0.005489042296772159","35.569995164871216"
"51","44928","35588","0.7921118233618234","237.3527406156063","0.00528295807994138","35.55630445480347"
"52","44928","35264","0.7849002849002849","244.2241666316986","0.005435901144758249","35.58237314224243"
"53","44928","35654","0.7935808404558404","235.43006664514542","0.005240163520413671","35.5242486000061"
"54","44928","35655","0.7936030982905983","237.3724359869957","0.005283396456263259","35.557406187057495"
"55","44928","35519","0.7905760327635327","235.99220463633537","0.005252675494932678","35.537235498428345"
"56","44928","35695","0.7944934116809117","234.68075913190842","0.005223485557601238","35.567338943481445"
"57","44928","35953","0.8002359330484331","230.04376950860023","0.00512027620879185","35.51255941390991"
"58","44928","35705","0.79471599002849","229.96663972735405","0.005118559466865964","35.65928363800049"
"59","44928","35699","0.7945824430199431","233.19810369610786","0.005190484857908384","35.79604959487915"
"60","44928","36219","0.8061565170940171","221.56944486498833","0.004931656091190089","35.718316316604614"
"61","44928","36090","0.8032852564102564","224.0865899324417","0.004987682290162965","35.61728262901306"
"62","44928","36163","0.8049100783475783","222.34164890646935","0.004948843681144706","35.51335406303406"
