"Epoch","Total Count","Correct Count","Correct Percentage","Total Loss","Average Loss","Time"
"1","45000","4355","0.09677777777777778","588.1504638195038","0.013070010307100085","33.80744671821594"
"2","45000","8641","0.19202222222222223","494.8878300189972","0.010997507333755494","33.83160877227783"
"3","45000","12386","0.27524444444444446","428.24992322921753","0.009516664960649278","33.85171985626221"
"4","45000","16137","0.3586","364.9193665981293","0.008109319257736206","33.89153575897217"
"5","45000","19053","0.4234","318.8545163869858","0.007085655919710795","33.897032022476196"
"6","45000","21528","0.4784","283.73439264297485","0.0063052087253994415","33.856714487075806"
"7","45000","23100","0.5133333333333333","260.84101009368896","0.005796466890970866","33.86981129646301"
"8","45000","24622","0.5471555555555555","241.37270545959473","0.005363837899102105","33.911540269851685"
"9","45000","25668","0.5704","226.603853225708","0.005035641182793512","33.84848356246948"
"10","45000","26820","0.596","211.35233557224274","0.00469671856827206","33.862215757369995"
"11","45000","27667","0.6148222222222223","200.2327607870102","0.004449616906378004","33.863598108291626"
"12","45000","28332","0.6296","191.45912623405457","0.004254647249645657","33.89252233505249"
"13","45000","29031","0.6451333333333333","182.21260249614716","0.004049168944358826","33.882545948028564"
"14","45000","29646","0.6588","175.47922503948212","0.0038995383342107135","33.83500051498413"
"15","45000","30206","0.6712444444444444","166.8826784491539","0.003708503965536753","33.83567667007446"
"16","45000","30872","0.6860444444444445","160.01908445358276","0.0035559796545240616","33.83902668952942"
"17","45000","31145","0.6921111111111111","156.02541762590408","0.0034672315027978683","33.85974049568176"
"18","45000","31648","0.7032888888888889","149.52269238233566","0.003322726497385237","33.854870319366455"
"19","45000","31925","0.7094444444444444","145.2193540930748","0.0032270967576238842","33.90019869804382"
"20","45000","32134","0.7140888888888889","141.3327015042305","0.003140726700094011","33.83118486404419"
"21","45000","32590","0.7242222222222222","137.28648173809052","0.0030508107052909005","33.85490608215332"
"22","45000","33000","0.7333333333333333","132.64295023679733","0.002947621116373274","33.851301431655884"
"23","45000","33148","0.7366222222222222","131.71835434436798","0.0029270745409859552","33.83622336387634"
"24","45000","33739","0.7497555555555555","124.57242006063461","0.0027682760013474357","33.864057302474976"
"25","45000","33677","0.7483777777777778","124.73086702823639","0.0027717970450719196","33.8681697845459"
"26","45000","33934","0.7540888888888889","121.25936329364777","0.0026946525176366172","33.844427824020386"
"27","45000","34171","0.7593555555555556","118.91214150190353","0.002642492033375634","33.841174364089966"
"28","45000","34222","0.7604888888888889","117.63830649852753","0.0026141845888561673","33.89412569999695"
"29","45000","34515","0.767","114.95940274000168","0.0025546533942222595","33.89359402656555"
"30","45000","34457","0.7657111111111111","114.67258530855179","0.002548279673523373","33.84339952468872"
"31","45000","34766","0.7725777777777778","111.5887593626976","0.0024797502080599466","33.862364292144775"
"32","45000","35010","0.778","108.93690311908722","0.0024208200693130494","33.84602689743042"
"33","45000","35013","0.7780666666666667","108.90287160873413","0.002420063813527425","33.854562282562256"
"34","45000","35117","0.7803777777777777","108.0407902598381","0.0024009064502186245","33.88646864891052"
"35","45000","35178","0.7817333333333333","105.21534186601639","0.0023381187081336977","33.89575409889221"
"36","45000","35486","0.7885777777777778","103.62509101629257","0.002302779800362057","33.93240690231323"
"37","45000","35403","0.7867333333333333","103.44315588474274","0.0022987367974387275","33.928006172180176"
"38","45000","35649","0.7922","100.31587448716164","0.0022292416552702585","33.88861560821533"
"39","45000","35810","0.7957777777777778","99.88336253166199","0.0022196302784813775","33.84518122673035"
"40","45000","35921","0.7982444444444444","99.13879960775375","0.002203084435727861","33.87311410903931"
"41","45000","35782","0.7951555555555555","98.59537124633789","0.0021910082499186196","33.84779596328735"
"42","45000","35903","0.7978444444444445","97.67811253666878","0.002170624723037084","33.83630967140198"
"43","45000","35935","0.7985555555555556","97.19426321983337","0.002159872515996297","33.86782765388489"
"44","45000","36066","0.8014666666666667","95.29859793186188","0.0021177466207080416","33.87870121002197"
"45","45000","35943","0.7987333333333333","97.10912743210793","0.0021579806096023984","33.87659168243408"
"46","45000","36164","0.8036444444444445","94.8991524875164","0.0021088700552781424","33.8764386177063"
"47","45000","36171","0.8038","94.38446825742722","0.002097432627942827","33.83837580680847"
"48","45000","36533","0.8118444444444445","91.6391650736332","0.002036425890525182","33.88783383369446"
"49","45000","36188","0.8041777777777778","93.64442571997643","0.0020809872382216983","33.873453855514526"
"50","45000","36589","0.8130888888888889","90.0121556520462","0.0020002701256010267","33.85032272338867"
"51","45000","36639","0.8142","89.70911225676537","0.001993535827928119","33.813053369522095"
"52","45000","36552","0.8122666666666667","89.86539351940155","0.00199700874487559","33.855002641677856"
"53","45000","36582","0.8129333333333333","89.67849028110504","0.001992855339580112","33.872310638427734"
"54","45000","36745","0.8165555555555556","88.77507528662682","0.001972779450813929","33.849061250686646"
"55","45000","36961","0.8213555555555555","86.30803805589676","0.0019179564012421501","33.83292031288147"
"56","45000","36986","0.8219111111111111","85.02523052692413","0.0018894495672649807","33.820454120635986"
"57","45000","36904","0.8200888888888889","86.67518478631973","0.0019261152174737718","33.84935927391052"
"58","45000","36799","0.8177555555555556","87.36945375800133","0.0019415434168444739","33.838645219802856"
"59","45000","36917","0.8203777777777778","85.87236499786377","0.0019082747777303059","33.84568214416504"
"60","45000","37299","0.8288666666666666","82.00099441409111","0.0018222443203131358","33.8297119140625"
"61","45000","37117","0.8248222222222222","84.19847935438156","0.001871077318986257","33.85260200500488"
"62","45000","37261","0.8280222222222222","82.6202132999897","0.0018360047399997711","33.879085063934326"
"63","45000","37303","0.8289555555555556","81.80944642424583","0.0018179876983165741","33.849212884902954"
